c11,c12,c22,p10_1,p20_1
-5.654543852265757,-5.039249233587299,-4.4725103813580604,-17.450185099986705,-12.474315183426507
-0.695261551083544,-0.7087863377189044,-0.610056572750153,-2.2960789270175064,1.1282396029805704
-0.6624414357263858,-0.673715461877673,-0.5957003163443255,-2.27140853810059,1.080764238959711
-0.308620927794449,-0.31065702683047086,-0.08206306806312744,-0.16895675514829747,3.130319698912793
-0.08175746789397928,-0.2682605366219719,-0.1605242991693809,-1.3405525766328414,2.3699162543638956
-3.7141032343123537,-3.7074517639583453,-3.7171000396791993,-16.861267930145193,-13.795203540239164
-0.4251826790472954,-0.451944852182204,-0.27283681339787097,-0.5843341248479531,2.749006185564058
-0.2405109970982041,-0.3564968626193465,-0.29543105917833706,-1.323185793537512,1.9875686994770496
-0.17544291602757967,-0.3364046650163114,-0.2946753270907647,-1.458843940532197,1.85686238438797
-1.341574835389517,-1.3086723449283248,-1.2374281240059712,-5.338016163604291,-1.908329207961738
-0.5596367368799264,-0.563560625826443,-0.46092579670711026,-1.2556439890035496,1.9042392043652283
-0.3756228084118922,-0.41136588439759175,-0.2510833185643659,-0.8219850677423215,2.5716173572692873
-0.4689222584529544,-0.5166347275624021,-0.44709493812529505,-1.5269075715088885,1.6403893477844504
-0.5889951154980385,-0.50710264581032,-0.2662545415924005,0.06202717682219882,3.1842297323747943
-0.6817370158203531,-0.676721796773835,-0.5990080993018505,-2.2125205304119753,1.0245287156002494
-0.3462438425903849,-0.40997340118149683,-0.2708393166125861,-1.0288228763460636,2.4804365228284277
-0.3771833747136619,-0.3672838272573485,-0.14927545893323574,-0.1239668356708631,3.1083016494245834
-1.3175014094999165,-1.0983604164246206,-0.8402599230729062,-2.1185250739755324,1.4113839651383133
-3.203314098623098,-2.421070223619028,-1.7373856384482937,-2.4462936580421757,1.464883176902421
-0.24191639733323506,-0.37536290710369474,-0.26295170344374724,-1.22764719601072,2.280337901519811
-0.8341229133032567,-0.8520392199611115,-0.782683758958495,-2.579121531795386,0.7331839056246835
-0.35733663847287567,-0.3973204730487817,-0.2464502035337594,-0.7601976304254288,2.525672442422545
-0.2602132387107236,-0.35936945263033526,-0.27588084192363815,-1.3414860571924834,2.0535813743756175
-0.2340522466678496,-0.3490085669209747,-0.21477840760072786,-0.966486166089054,2.4863690947828205
-0.6710624651385272,-0.6491225500979497,-0.48832305419106914,-1.0566400189538454,2.2875232842640814
-0.2808924529910986,-0.3491807987853667,-0.19638206115369194,-0.695690383159148,2.666925818895822
-0.3949788463921195,-0.461078685822866,-0.3855768717445649,-1.5696155994633596,1.8500310765500714
-0.6368260029938809,-0.6940634429725502,-0.6243411507775056,-1.9586929700184867,1.3278432569984358
-1.0317118193271049,-1.0046673064849059,-0.9347331984319353,-3.4072609191238232,-0.18835673493214986
-0.23248681136804786,-0.34466191804972707,-0.2439639522110175,-1.1501072748939856,2.3288607784126687
-125.1409939882588,-73.79552006871695,-43.417906023108394,67.91202310299123,43.49647518011329
-0.7160879396511027,-0.658724730693465,-0.49549064957248334,-1.4194619973269158,2.0135076531729226
-1.7527467417957854,-1.4678040505911418,-1.1535205612876807,-2.8816520281533777,0.812998392184949
-0.43895870156019573,-0.36073271923970357,-0.12993963200583086,0.05480726429644418,3.2754951835855217
-0.3125506866444636,-0.3801930791614216,-0.2694773071467861,-1.1826875803254806,2.228984316144203
-1.472049602625317,-1.1554535191394768,-0.7943501545173334,-0.9317482364307434,2.536460249889088
-0.19766985516255955,-0.34905038401779065,-0.24897950582061942,-1.2298963387860202,2.32713058740228
-0.35080050266645346,-0.4129636036445063,-0.294947071006722,-1.1702767930253333,2.2566378099449262
-0.39242403974070605,-0.4354093175149747,-0.338522693755844,-1.3522354721345444,2.005687772070285
-1.1458661329198097,-1.0555502540606212,-0.8591265171459136,-2.095191746065158,1.4603946567229404
-2.0733400796591583,-1.7929133236051127,-1.4807171807241075,-2.975984936375861,0.5373886016771695
-0.40945294970660334,-0.456231787289314,-0.36135286871547295,-1.4889337611263291,1.9269178198420294
-0.33874126887328954,-0.4296190855989072,-0.3408798264523363,-1.2541465929642805,2.0984064316722693
-0.38731065125706343,-0.4551154113752223,-0.3935027549101108,-1.513918225356889,1.6668056664758395
-2.527033772907499,-2.2406811136505427,-1.9430896799140183,-6.46884970690903,-2.5619658315045757
-1.5031009357138692,-0.8698303420546833,-0.39154146017246366,1.98973464640636,4.215516375545578
-0.015459354373488932,-0.2431383524016501,-0.13567460917115307,-1.1921230632692454,2.261201084575617
-0.28523398894040736,-0.3981002187099492,-0.33884315754883093,-1.4337597307718304,1.8425749416935444
-1.7825783718776647,-1.5102391525959216,-1.166590148405076,-2.6720737224243933,1.178667161767107
-0.5181917750267598,-0.5498671987696001,-0.48330903885283294,-1.890932106658256,1.3892047573084605
-0.3488475119464888,-0.363863781454069,-0.18905069819500944,-0.4933433919526371,2.7596704492351547
-0.3737613161733375,-0.4181868141727018,-0.2604807328455793,-0.8225304450685491,2.6747795302751602
-0.19171865847198866,-0.32985275881608633,-0.2839756893462393,-1.5477229137118005,1.7949331145467042
-0.38653041722807596,-0.3996298975023326,-0.2134965691946029,-0.5714746388826617,2.818431580767611
-6.483118643989304,-5.826809246994752,-5.2018508823379035,-15.508720465640387,-10.779541479436347
-0.3230279200573701,-0.42832030563571677,-0.3585039282720746,-1.2972943179723226,1.9606166062843695
-1.7390533906899388,-1.4789361250188162,-1.1902636144426708,-2.8529131554051355,0.6755243675840753
